condition_id,dataset_id,encoder_id,projection_dim,tau,balanced_accuracy,accuracy,macro_f1
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,0.9,0.8649666666666667,0.8696296296296296,0.8650150285080425
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,1.0,0.8675499999999999,0.8712962962962963,0.8668410555612207
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,0.0,0.8977333333333334,0.9012962962962963,0.8981111858950456
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,0.1,0.9108833333333333,0.9148148148148149,0.9116371710862387
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,0.2,0.9163166666666667,0.9201851851851852,0.9170385058706116
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,0.3,0.9123833333333333,0.9162962962962963,0.9133699158656482
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,0.4,0.9089166666666667,0.9127777777777778,0.9100073582402886
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,0.5,0.9045333333333332,0.9083333333333333,0.9056873798797603
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,0.6,0.8990500000000001,0.9027777777777778,0.900248407539013
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,0.7,0.8968833333333333,0.9003703703703704,0.8979231645616281
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,0.8,0.8965,0.8998148148148148,0.8974987477048758
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,0.9,0.8969333333333334,0.8998148148148148,0.8975050505618503
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat,vit_b_16_imagenet1k_v1,128,1.0,0.8969833333333334,0.8992592592592593,0.8970149862961074
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,0.0,0.8491666666666667,0.8538888888888889,0.8487872141333928
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,0.1,0.8693666666666667,0.8733333333333333,0.8690917371869034
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,0.2,0.8786166666666666,0.8824074074074074,0.8784437711897878
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,0.3,0.8792833333333334,0.8831481481481481,0.8793978702177047
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,0.4,0.8816333333333333,0.8851851851851852,0.8819720865516205
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,0.5,0.8802833333333334,0.8840740740740741,0.8807537063886521
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,0.6,0.8802166666666666,0.8837037037037037,0.8805731794410298
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,0.7,0.87835,0.8818518518518519,0.8786777048976621
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,0.8,0.8785333333333334,0.8820370370370371,0.8786536645106399
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,0.9,0.8765166666666667,0.8796296296296297,0.876375269944002
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat,vit_b_16_imagenet1k_v1,64,1.0,0.8780833333333333,0.8809259259259259,0.8776638875777024
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,0.0,0.7314196414122848,0.7991643454038997,0.731465046444534
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,0.1,0.7424205075144195,0.8016713091922005,0.7358237568719398
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,0.2,0.7380782448459668,0.791782729805014,0.7248563569985884
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,0.3,0.7278212725961305,0.7768802228412256,0.709122971050686
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,0.4,0.722136400372891,0.7662952646239555,0.6995865170432902
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,0.5,0.7118146984958437,0.7547353760445682,0.6870014105771225
