condition_id,pair_id,task,tau,balanced_accuracy
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,0.1,0.935224412107816
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,0.2,0.9314790937557561
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,0.3,0.9314790937557561
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,0.4,0.938969730459876
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,0.5,0.9409958862896789
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,0.6,0.9392767237674219
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,0.7,0.9447412046417387
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,0.8,0.9522318413458586
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,0.9,0.9559771596979186
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,1.0,0.8452363011213628
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,0.0,0.8626142057176539
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,0.1,0.8626142057176539
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,0.2,0.8709475390509872
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,0.3,0.8677866195107574
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,0.4,0.8677866195107574
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,0.5,0.8677866195107574
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,0.6,0.8677866195107574
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,0.7,0.8604590333038608
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,0.8,0.8416371942234012
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,0.9,0.8301429413498379
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_a,1.0,0.7810050103153552
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,0.0,0.8681131992612497
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,0.1,0.8760673967593539
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,0.2,0.8768460389619498
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,0.3,0.8770265786155423
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,0.4,0.8767051676628247
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,0.5,0.8780536706203108
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,0.6,0.8810885650503196
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,0.7,0.8828768217457127
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,0.8,0.8837680934533209
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,0.9,0.8846593651609288
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0210,domain_b,1.0,0.8836157955938416
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,0.0,0.59168304927859
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,0.1,0.6777512914367925
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,0.2,0.7593234700231754
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,0.3,0.775378956942393
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,0.4,0.7670347050631378
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,0.5,0.7361991113319745
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,0.6,0.7254057116936381
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,0.7,0.7034237262399404
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,0.8,0.681994665921253
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,0.9,0.669700229835871
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_a,1.0,0.6252535518346225
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0179__0306,domain_b,0.0,0.8414604391774138
