condition_id,dataset_id,bank_id,encoder_id,projection_dim,pair_id,domain_a,domain_b,selection_rank,eligible_pair_count,selected_pair_count,n_shared_classes,t2_distance,t2_empirical_percentile,m3_distance,optimal_tau_set_original,optimal_tau_set_counterfactual,optimal_sets_disjoint,deterministic_pair_minimax_regret,randomized_pair_minimax_regret,curve_linf_shift,best_bacc_original,best_bacc_counterfactual,gamma_bootstrap_ci95_low,gamma_bootstrap_ci95_high,robust_decision_critical,m3_upload_ratio_vs_t2,no_group_leakage
iwildcam__vit_b_16_imagenet1k_v1__d64,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,iwildcam__0147__0208,147,208,2,1281,10,4,1.903007240909298,0.00156128024980484,0.5574173112581146,[0.5],[0.7],True,0.029711132705302346,0.015557454236839578,0.08844924188677539,0.8219218448994221,0.7702373882854084,0.0006188118811881749,0.040827558011894714,False,1.0074592074592075,True
iwildcam__vit_b_16_imagenet1k_v1__d64,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,iwildcam__0179__0306,179,306,3,1281,10,4,1.9033489844740976,0.00234192037470726,0.5671950799032055,[0.3],[0.2],True,0.0009759498082955176,0.0009384248116918983,0.14627101874482928,0.724433395527825,0.7851319339555658,0.0,0.027357020448472172,False,1.0074592074592075,True
iwildcam__vit_b_16_imagenet1k_v1__d64,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,iwildcam__0115__0299,115,299,4,1281,10,3,1.9876901626661099,0.00312256049960968,0.6449471501142339,[0.0],[0.1],True,0.005649717514124242,0.0050188913325438025,0.1106971919425862,0.7362851060345533,0.7824675324675324,0.0,0.03753246753246762,False,1.0074592074592075,True
iwildcam__vit_b_16_imagenet1k_v1__d64,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,iwildcam__0208__0306,208,306,5,1281,10,3,2.0206174114124362,0.0039032006245121,0.6675385156645328,[0.4],[0.4],False,0.0,0.0,0.10621796932184246,0.9121643725655635,0.8180318345532706,0.0,0.023376321598698624,False,1.0074592074592075,True
iwildcam__vit_b_16_imagenet1k_v1__d64,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,iwildcam__0208__0283,208,283,6,1281,10,4,2.033934571404398,0.00468384074941452,0.6339366204173911,[0.4],[0.1],True,0.006468979868370139,0.005313967218260536,0.08427632336532631,0.9063455016463948,0.8285381581494387,0.0,0.02482463117883902,False,1.0074592074592075,True
iwildcam__vit_b_16_imagenet1k_v1__d64,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,iwildcam__0208__0219,208,219,7,1281,10,4,2.0527743531349953,0.00546448087431694,0.7575811481360717,[0.7],[0.8],True,0.002358490566037763,0.0019484077287771908,0.10485450796005003,0.7702373882854084,0.8123253745638641,0.0,0.00922196890853093,False,1.0074592074592075,True
iwildcam__vit_b_16_imagenet1k_v1__d64,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,iwildcam__0279__0306,279,306,8,1281,10,3,2.0885404249362005,0.00624512099921936,0.8136667927116434,[1.0],[0.5],True,0.00014716703458428348,0.0001461139120580418,0.06389499430338275,0.8270923520923521,0.8185430463576159,0.0,0.024503311258278093,False,1.0074592074592075,True
iwildcam__vit_b_16_imagenet1k_v1__d64,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,iwildcam__0022__0208,22,208,9,1281,10,4,2.0919972859114275,0.00702576112412178,0.95994391731737,[0.4],[0.5],True,0.0030067234683823774,0.0023115720494099987,0.19330221532678105,0.953917144844375,0.8510588025025388,0.0,0.012063740709065783,False,1.0074592074592075,True
iwildcam__vit_b_16_imagenet1k_v1__d64,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,iwildcam__0047__0216,47,216,10,1281,10,3,2.109188858671619,0.0078064012490242,0.8438305690214029,"[0.1, 0.2, 0.3]","[0.5, 0.6, 0.7, 0.8]",True,0.02223966509680797,0.013838013838013844,0.14284260712832142,0.957352171637886,0.8654863654863655,0.0,0.10853174603174609,False,1.0074592074592075,True
rxrx1__resnet18_imagenet1k_v1__d128,rxrx1,rxrx1__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,128,rxrx1__0001__0002,1,2,1,6,2,64,3.1618781512752507,0.16666666666666666,0.8069284796069773,[0.0],[0.0],False,0.0,0.0,0.13235381155303028,0.20149739583333334,0.07877604166666666,0.0,0.008779444839015159,False,1.0019081693500298,True
rxrx1__resnet18_imagenet1k_v1__d128,rxrx1,rxrx1__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,128,rxrx1__0001__0003,1,3,2,6,2,64,5.839021952976574,0.3333333333333333,0.5755522680046791,[0.0],[0.8],True,0.00341796875,0.0032412225731302765,0.11403387263593381,0.16286199763593381,0.05224609375,0.0,0.01563720703124999,False,1.0019081693500298,True
rxrx1__resnet18_imagenet1k_v1__d64,rxrx1,rxrx1__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,rxrx1__0001__0002,1,2,1,6,2,64,2.3289256426044513,0.16666666666666666,0.8004425427362012,[0.0],[0.0],False,0.0,0.0,0.11587062026515152,0.18227687026515152,0.06640625,0.0,0.008952932646780319,False,1.0074592074592075,True
rxrx1__resnet18_imagenet1k_v1__d64,rxrx1,rxrx1__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,rxrx1__0001__0003,1,3,2,6,2,64,4.258926841897145,0.3333333333333333,0.5544673983453139,[0.0],[0.8],True,0.0078125,0.00685640248870694,0.08085237611982082,0.12870393861982082,0.05615234375,0.0,0.0185546875,False,1.0074592074592075,True
rxrx1__vit_b_16_imagenet1k_v1__d128,rxrx1,rxrx1__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,rxrx1__0001__0002,1,2,1,6,2,64,3.21117294420097,0.16666666666666666,0.7796317037033358,[0.1],[0.0],True,0.0035807291666666574,0.0027124561623246466,0.1233871922348485,0.17970229640151517,0.05989583333333333,0.0,0.012044270833333336,False,1.0019081693500298,True
rxrx1__vit_b_16_imagenet1k_v1__d128,rxrx1,rxrx1__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,rxrx1__0001__0003,1,3,2,6,2,64,5.9704623806994865,0.3333333333333333,0.52248509240527,[0.2],[0.9],True,0.00439453125,0.00413516567612944,0.11654988500451038,0.1467478658275787,0.03955078125,0.0,0.015625,False,1.0019081693500298,True
rxrx1__vit_b_16_imagenet1k_v1__d64,rxrx1,rxrx1__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,rxrx1__0001__0002,1,2,1,6,2,64,2.2900697488838637,0.16666666666666666,0.7534504562051908,[0.1],[0.1],False,0.0,0.0,0.10030480587121213,0.15206261837121213,0.0517578125,0.0,0.007167006983901518,False,1.0074592074592075,True
rxrx1__vit_b_16_imagenet1k_v1__d64,rxrx1,rxrx1__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,rxrx1__0001__0003,1,3,2,6,2,64,4.187430581887781,0.3333333333333333,0.4973976086408055,[0.1],[0.9],True,0.00341796875,0.0032419644853143516,0.09691565668937416,0.13353675043937416,0.041015625,0.0,0.01318359375,False,1.0074592074592075,True
